age,edu,edunumber,gender,gov,marriage,relation,skin,workhour,occupation,income
39,1,13,1,6,3,4,1,40,0,0
50,1,13,1,2,1,3,1,13,5,0
38,4,0,1,1,2,4,1,40,7,0
53,3,7,1,1,1,3,5,40,7,0
28,1,13,2,1,1,1,5,40,6,0
37,12,14,2,1,1,1,1,40,5,0
49,0,5,2,1,6,4,5,16,3,0
52,4,0,1,2,1,3,1,45,5,1
31,12,14,2,1,3,4,1,50,6,1
42,1,13,1,1,1,3,1,40,5,1
37,2,10,1,1,1,3,5,80,5,1
30,1,13,1,6,1,3,2,40,6,1
23,1,13,2,1,3,2,1,30,0,0
32,7,12,1,1,3,4,5,50,4,0
40,8,11,1,1,1,3,2,40,2,1
34,10,4,1,1,1,3,3,45,0,0
25,4,0,1,2,3,2,1,35,0,0
32,4,0,1,1,3,6,1,40,8,0
38,3,7,1,1,1,3,1,50,4,0
43,12,14,2,2,2,6,1,45,5,1
40,15,16,1,1,1,3,1,60,6,1
54,4,0,2,1,4,6,5,20,3,0
35,0,5,1,4,1,3,5,40,0,0
43,3,7,1,1,1,3,1,40,0,0
59,4,0,2,1,2,6,1,40,1,0
56,1,13,1,5,1,3,1,40,1,1
19,4,0,1,1,3,2,1,40,2,0
54,2,10,1,0,1,3,2,60,0,1
39,4,0,1,1,2,4,1,80,5,0
49,4,0,1,1,1,3,1,40,2,0
23,7,12,1,5,3,4,1,52,0,0
20,2,10,1,1,3,2,5,44,4,0
45,1,13,1,1,2,2,1,40,5,0
30,2,10,1,4,1,2,1,40,0,0
22,2,10,1,6,1,3,5,15,3,0
48,3,7,1,1,3,6,1,40,8,0
21,2,10,1,1,3,2,1,40,8,0
19,4,0,2,1,7,1,1,25,0,0
31,2,10,1,1,1,3,1,38,4,1
48,7,12,1,2,1,3,1,40,6,0
31,0,5,1,1,1,3,1,43,8,0
53,1,13,1,2,1,3,1,40,6,0
24,1,13,1,1,1,3,1,50,1,0
49,4,0,2,1,4,6,1,40,0,0
25,4,0,1,1,3,4,1,35,7,0
57,1,13,1,4,1,3,5,40,6,1
53,4,0,1,1,1,3,1,38,8,0
44,12,14,2,1,2,6,1,40,5,0
41,8,11,1,6,1,3,1,40,2,0
29,8,11,1,1,3,4,1,43,6,0
25,2,10,2,1,1,1,4,40,5,0
18,4,0,2,1,3,2,1,30,3,0
47,5,15,2,1,1,1,1,60,6,1
50,1,13,1,4,2,4,1,55,5,1
47,4,0,1,3,2,4,1,60,5,0
43,2,10,1,1,1,3,1,40,1,1
46,16,3,1,1,1,3,1,40,8,0
35,8,11,1,1,1,3,1,40,3,0
41,4,0,1,1,1,3,1,48,0,0
30,4,0,1,1,1,3,1,40,8,0
30,1,13,1,1,1,3,1,40,4,0
32,10,4,1,0,6,4,1,40,0,0
48,4,0,1,1,1,3,1,40,0,0
42,15,16,1,1,1,3,1,45,6,1
29,2,10,1,1,2,4,1,58,1,0
36,4,0,1,1,1,3,1,40,2,0
28,2,10,2,1,2,4,1,40,0,0
53,4,0,2,1,1,1,1,40,0,1
49,2,10,1,3,1,3,1,50,5,1
25,2,10,1,0,3,2,1,40,0,0
19,2,10,1,1,3,2,1,32,6,0
31,1,13,2,1,4,2,5,40,4,0
29,1,13,1,2,1,3,1,70,4,1
23,2,10,1,1,3,4,1,40,8,0
79,2,10,1,1,1,5,1,20,6,0
27,4,0,1,1,3,2,1,40,3,0
40,7,12,1,1,1,3,1,40,0,0
67,14,6,1,0,1,3,1,2,0,0
18,3,7,2,1,3,2,1,22,3,0
31,10,4,1,5,1,3,1,40,0,0
18,4,0,1,1,3,4,1,30,4,0
52,1,13,1,1,1,3,1,40,3,0
46,4,0,2,1,1,1,1,40,3,0
59,4,0,1,1,1,3,1,48,4,0
44,4,0,2,1,2,4,1,40,2,1
53,4,0,2,1,2,2,1,35,4,0
49,4,0,1,5,1,3,1,40,0,1
33,12,14,1,1,1,3,1,50,6,0
30,0,5,1,1,3,4,1,40,4,0
43,15,16,2,4,3,4,1,50,6,1
57,8,11,1,1,1,3,1,40,6,0
37,2,10,2,1,2,6,1,40,2,0
28,2,10,2,1,2,6,5,25,8,0
30,4,0,2,1,1,1,2,35,4,0
34,1,13,1,5,1,3,1,40,0,1
29,2,10,1,5,3,4,1,50,7,0
48,15,16,1,2,1,3,1,60,6,1
37,2,10,1,1,1,3,1,48,4,1
48,7,12,2,1,2,6,1,40,5,0
32,4,0,1,4,3,2,5,40,3,0
76,12,14,1,1,1,3,1,40,5,1
44,1,13,1,1,1,3,1,60,5,1
47,12,14,2,2,3,4,1,50,6,0
20,2,10,2,1,3,2,1,40,1,0
29,4,0,1,1,3,4,1,40,2,0
32,4,0,1,3,1,3,1,40,2,1
17,14,6,2,0,3,2,1,32,0,0
30,3,7,1,1,3,2,1,40,7,0
31,4,0,2,5,3,4,1,40,0,0
42,4,0,1,1,1,3,1,40,7,0
24,1,13,1,1,3,5,1,40,4,0
38,5,15,1,1,1,3,1,40,6,1
56,4,0,1,2,1,3,1,50,3,1
28,2,10,2,1,1,1,1,25,4,0
36,4,0,2,1,3,2,1,40,8,0
53,0,5,1,1,1,3,1,50,7,0
56,2,10,1,3,1,3,1,50,4,0
49,8,11,1,5,1,3,5,40,2,1
55,2,10,1,1,1,3,1,56,4,0
22,4,0,1,1,3,4,1,41,2,0
21,2,10,2,1,3,2,1,40,3,0
40,1,13,1,1,1,3,1,60,5,0
30,1,13,1,1,3,2,5,40,5,0
29,1,13,1,6,1,3,1,50,6,1
19,2,10,1,1,3,2,5,35,3,0
47,1,13,2,1,1,1,1,40,5,1
20,2,10,2,1,3,2,1,28,0,0
31,7,12,1,1,1,3,1,40,0,1
35,4,0,1,0,1,3,1,40,0,0
39,2,10,1,1,2,4,1,40,2,0
28,7,12,2,1,3,4,1,60,4,0
24,4,0,2,1,3,4,1,40,3,0
38,4,0,1,2,1,3,1,35,2,0
37,1,13,1,1,1,3,1,50,4,0
46,7,12,2,1,2,4,5,36,1,0
38,12,14,1,4,1,3,1,40,6,1
43,4,0,1,2,1,3,1,60,2,0
27,8,11,2,1,1,1,1,35,0,0
20,2,10,1,1,3,2,1,20,4,0
49,2,10,1,1,1,3,2,40,2,1
61,4,0,1,3,1,3,1,40,2,0
27,2,10,2,1,3,2,1,40,4,0
19,2,10,1,1,3,2,1,30,3,0
45,8,11,2,1,3,4,1,40,6,1
70,2,10,1,1,3,5,1,40,1,0
31,4,0,2,1,3,6,5,30,0,0
22,2,10,1,1,1,3,1,24,3,0
36,4,0,2,1,5,6,1,24,3,0
64,3,7,1,1,1,3,1,40,2,0
43,2,10,2,0,2,4,1,40,0,0
47,2,10,2,5,2,6,1,38,0,0
34,4,0,2,1,3,4,1,40,0,0
33,1,13,2,1,3,5,2,40,5,0
21,4,0,1,1,3,2,1,35,2,0
52,4,0,1,0,2,4,1,45,0,1
48,4,0,1,1,1,3,1,46,2,0
23,1,13,1,1,3,4,1,40,7,0
71,2,10,1,2,4,6,5,2,4,0
29,4,0,1,1,2,4,1,60,2,0
42,1,13,1,1,4,5,5,50,3,0
68,13,2,2,0,2,4,1,20,0,0
25,4,0,2,1,3,6,1,40,3,0
44,12,14,2,3,2,6,2,40,5,0
28,4,0,2,1,3,4,2,40,5,0
45,12,14,1,2,1,3,1,40,4,1
36,2,10,2,1,2,6,1,40,3,0
39,7,12,1,4,3,4,1,42,5,0
46,12,14,1,6,5,6,1,40,0,0
18,3,7,1,1,3,2,1,16,7,0
66,8,11,2,5,5,4,1,20,6,0
27,4,0,1,1,3,4,1,40,3,0
28,4,0,1,6,1,3,1,40,0,0
51,2,10,1,1,1,3,1,40,4,1
27,1,13,1,1,3,4,1,50,2,0
28,1,13,1,6,1,3,1,40,6,1
27,4,0,2,1,6,6,1,25,4,0
21,4,0,1,1,3,2,5,40,2,0
34,4,0,1,1,3,4,5,40,7,0
18,4,0,1,1,3,2,1,12,3,0
33,1,13,1,1,1,3,1,65,6,0
44,2,10,1,5,1,3,5,38,5,1
43,2,10,2,1,2,4,1,40,0,0
30,2,10,1,1,3,4,5,45,2,0
40,10,4,1,1,1,3,1,40,8,1
37,2,10,1,4,1,3,1,42,0,1
34,4,0,1,1,1,3,5,40,0,0
41,1,13,2,2,2,4,1,40,5,0
53,1,13,2,0,2,4,1,50,0,0
31,12,14,2,1,1,1,1,50,6,0
58,15,16,1,6,1,3,1,1,6,1
